Source,Target
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://www.instagram.com/dukehealth
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://medschool.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://nursing.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,http://www.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://careers.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://giving.dukehealth.org/
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/spanish-covid-19-update/walk-in-vaccine-clinic,https://physicians.dukehealth.org/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://www.dukemychart.org/home/Signup
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://covid19.ncdhhs.gov/about-covid-19/testing/find-my-testing-place/test-site-finder
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://covid19.ncdhhs.gov/about-covid-19/testing/covid-19-test-home-collection-kit-program
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://www.dukemychart.org/home/Authentication/Login?lang=espanol
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://twitter.com/DukeHealth
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://youtube.com/user/Dukemedicine
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://www.instagram.com/dukehealth
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://www.linkedin.com/company/duke-university-health-system
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://medschool.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://nursing.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,http://www.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://careers.duke.edu/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://giving.dukehealth.org/
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/spanish-covid-19-update/covid-19-testing,https://physicians.dukehealth.org/
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/who-we-are
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/who-we-are/mission-vision
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/chancellors-office/biography
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/chancellors-leadership-team
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/duhs-leadership
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/duhs-board-directors-0
https://www.dukehealth.org/about-duke-health,https://careers.duke.edu/
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/newsmedia
https://www.dukehealth.org/about-duke-health,https://corporate.dukehealth.org/
https://www.dukehealth.org/about-duke-health,http://www.facebook.com/dukemedicine
https://www.dukehealth.org/about-duke-health,http://twitter.com/DukeHealth
